repo.url,repo.language,repo.license,repo.star_count,repo.created_at,repo.updated_at,legacy.created_since,legacy.updated_since,legacy.contributor_count,legacy.org_count,legacy.commit_frequency,legacy.recent_release_count,legacy.updated_issues_count,legacy.closed_issues_count,legacy.issue_comment_frequency,legacy.github_mention_count,depsdev.dependent_count,original_pike_score
https://github.com/liferay/liferay-portal,Java,Other,1874,2006-04-03T01:29:15Z,2022-06-15T14:37:36Z,197,0,1245,4,2212.27,28,3922,3894,3.62,291,490,0.78411
https://github.com/istio/istio,Go,Apache License 2.0,30510,2016-11-18T23:57:21Z,2022-06-11T15:45:17Z,67,0,920,5,47.15,55,39351,38704,2,25027,248,0.78385
https://github.com/rust-lang/cargo,Rust,Apache License 2.0,8491,2014-03-04T23:20:42Z,2022-06-14T23:11:47Z,100,0,876,10,25.37,8,8201,6951,2,15452,778,0.78351
https://github.com/phpmyadmin/phpmyadmin,PHP,GNU General Public License v2.0,6051,2001-05-03T17:25:09Z,2022-06-14T23:34:23Z,257,0,1933,3,42.44,8,15445,14871,1.44,56628,,0.78324
https://github.com/alpinelinux/aports,Shell,,543,2006-02-01T18:18:47Z,2022-06-15T02:42:34Z,199,0,1426,4,347.65,31,12075,12075,1.83,1598,,0.78320
https://github.com/angular/angular-cli,TypeScript,MIT License,25444,2015-03-24T02:28:08Z,2022-06-15T23:27:11Z,88,0,595,7,24.71,108,23043,22798,2,26630,8651,0.78314
https://github.com/servo/servo,,Mozilla Public License 2.0,21233,2012-02-08T19:07:25Z,2022-04-29T19:16:23Z,125,1,1306,6,8.37,0,17743,14612,2,532407,576,0.78236
https://github.com/apache/camel,Java,Apache License 2.0,4376,2007-03-19T10:54:57Z,2022-06-16T19:23:15Z,185,0,1195,5,114.17,12,6731,6725,1.54,8937,,0.78193
https://github.com/ipython/ipython,Python,"BSD 3-Clause ""New"" or ""Revised"" License",15387,2005-07-06T17:52:32Z,2022-06-10T18:30:40Z,206,0,886,8,17.29,8,4647,3591,2.79,17295,5635,0.78174
https://github.com/openwrt/packages,Makefile,GNU General Public License v2.0,3149,2014-05-29T20:43:16Z,2022-06-15T18:26:59Z,97,0,950,4,51.5,0,16078,15476,2,608288,,0.78162
https://github.com/godotengine/godot,C++,MIT License,49622,2013-04-10T08:37:04Z,2022-06-16T19:00:22Z,111,0,1918,3,169.37,7,57471,49895,2,10628,4,0.78148
https://github.com/apache/arrow,C++,Apache License 2.0,9655,2016-02-05T20:08:35Z,2022-06-14T18:21:26Z,77,0,879,7,45.13,8,13310,13094,3.01,13370,10803,0.78138
https://github.com/redis/redis,C,"BSD 3-Clause ""New"" or ""Revised"" License",55559,2009-03-21T22:32:25Z,2022-06-15T10:37:39Z,161,0,681,7,16.9,13,8298,6488,3.24,14761,,0.78109
https://github.com/doctrine/orm,PHP,MIT License,9269,2006-04-13T20:22:35Z,2022-06-16T13:42:23Z,196,0,953,7,13.81,16,4670,3665,2.82,12776,,0.78099
https://github.com/rust-lang/rust-clippy,Rust,Other,7679,2014-11-19T07:49:21Z,2022-06-14T16:54:13Z,92,0,789,4,46.29,25,8066,6729,4.65,6565,4,0.78092
https://github.com/Ultimaker/Cura,Python,GNU Lesser General Public License v3.0,3911,2014-06-16T12:55:31Z,2022-06-15T16:24:18Z,97,0,422,7,63.87,13,11859,10084,2,25333,,0.77992
https://github.com/Alluxio/alluxio,Java,Apache License 2.0,5690,2012-12-21T17:43:46Z,2022-06-14T02:08:09Z,115,0,1378,9,19.31,9,12063,11248,2,7292,,0.77962
https://github.com/getsentry/sentry-javascript,TypeScript,"BSD 3-Clause ""New"" or ""Revised"" License",6335,2011-11-29T05:35:57Z,2022-06-14T15:37:03Z,128,0,409,7,18.4,60,4635,4370,3.16,15679,17717,0.77935
https://github.com/Automattic/jetpack,PHP,Other,1398,2011-01-20T03:09:04Z,2022-06-16T20:38:58Z,138,0,809,5,59.85,59,21106,18995,2,8087,,0.77925
https://github.com/mesonbuild/meson,Python,Apache License 2.0,4023,2012-12-23T14:35:35Z,2022-06-14T21:59:33Z,115,0,768,6,32.1,26,9845,7985,2,10679,,0.77901
https://github.com/Perl/perl5,Perl,Other,1380,1987-12-18T00:00:00Z,2022-06-06T02:19:29Z,419,0,1188,2,39.31,12,6241,4132,6.41,11337,,0.77896
https://github.com/opencart/opencart,PHP,Other,6492,2009-02-11T17:25:48Z,2022-06-15T11:30:28Z,162,0,406,8,31.04,2,6778,6755,2.08,115662,,0.77889
https://github.com/PyCQA/pylint,Python,GNU General Public License v2.0,4039,2006-04-26T10:48:09Z,2022-06-15T07:51:00Z,196,0,458,5,36.77,31,6191,5447,3.23,12988,,0.77865
https://github.com/pytest-dev/pytest,Python,MIT License,8866,2007-01-24T14:24:01Z,2022-06-14T11:24:35Z,187,0,796,7,14.9,7,8231,7470,2,43304,5851,0.77859
https://github.com/puppetlabs/puppet,Ruby,Apache License 2.0,6581,2005-04-13T15:18:05Z,2022-06-16T03:09:19Z,209,0,806,9,13.88,24,4331,4301,2.88,4750,,0.77840
https://github.com/rollup/rollup,JavaScript,Other,21720,2015-05-14T22:25:51Z,2022-06-10T09:05:52Z,86,0,310,8,5.85,59,3883,3486,3.94,53379,15748,0.77838
https://github.com/ccxt/ccxt,JavaScript,MIT License,24777,2017-05-14T15:41:56Z,2022-06-11T10:16:20Z,61,0,651,2,310.19,108,13712,12934,2,37500,81,0.77835
https://github.com/pfsense/FreeBSD-ports,,Other,357,2015-08-20T19:42:36Z,2022-06-15T14:07:26Z,83,0,5000,10,719.29,5,1042,1028,1.51,313,,0.77823
https://github.com/python-pillow/Pillow,Python,Other,9871,2010-07-31T02:41:01Z,2022-06-14T12:26:50Z,144,0,399,9,29.48,8,4634,4525,3.12,15958,,0.77813
https://github.com/xanmod/linux,C,Other,563,2016-12-13T19:35:00Z,2022-06-09T21:35:54Z,66,0,5000,10,1314.69,299,269,222,3.1,65,,0.77812
https://github.com/MarlinFirmware/Marlin,C++,GNU General Public License v3.0,13332,2011-08-12T20:23:37Z,2022-06-15T12:07:28Z,132,0,1112,5,27.19,7,22787,22128,2,30849,,0.77761
https://github.com/openSUSE/kernel,C,Other,142,2014-12-01T10:07:44Z,2022-06-13T01:09:06Z,91,0,5000,10,1575.4,703,4,4,0.25,13544,,0.77736
https://github.com/netlify/netlify-cms,JavaScript,MIT License,15394,2015-01-20T05:47:47Z,2022-05-27T10:25:53Z,90,0,503,9,10.1,31,6419,5705,2.78,14984,3106,0.77670
https://github.com/facebook/flow,OCaml,MIT License,21754,2014-10-28T17:17:45Z,2022-06-14T23:07:52Z,92,0,901,4,31.69,40,7741,5300,3.07,11467,2683,0.77617
https://github.com/qgis/QGIS,C++,GNU General Public License v2.0,5860,2002-07-06T00:33:05Z,2022-06-15T11:41:13Z,242,0,641,11,118.31,25,45830,42241,0.87,2976,,0.77612
https://github.com/jupyterlab/jupyterlab,TypeScript,Other,12098,2015-07-23T19:07:31Z,2022-06-13T20:44:51Z,83,0,491,10,21.54,81,12681,10566,3.15,5216,22551,0.77602
https://github.com/openstack/openstack,Python,Apache License 2.0,4347,2013-10-07T21:57:51Z,2022-06-17T01:23:28Z,105,0,3939,8,363.1,0,8,8,0.75,1147738,,0.77582
https://github.com/apache/kafka,Java,Apache License 2.0,22204,2011-08-01T23:41:24Z,2022-06-15T16:20:15Z,132,0,1121,3,19.46,16,10933,9963,3.66,18302,,0.77570
https://github.com/Ponce/slackbuilds,Shell,,135,2010-05-11T10:49:04Z,2022-06-11T06:30:47Z,147,0,1597,2,226.6,71,162,159,1.63,80543,,0.77555
https://github.com/umbraco/Umbraco-CMS,C#,MIT License,3603,2009-06-19T07:39:16Z,2022-06-02T13:47:47Z,158,0,927,5,51,28,11138,10625,2,5785,,0.77526
https://github.com/getsentry/sentry,Python,Other,31102,2008-05-12T16:26:19Z,2022-06-16T07:57:30Z,171,0,661,4,138.65,14,35320,34782,0.98,29726,,0.77508
https://github.com/WordPress/gutenberg,JavaScript,Other,7932,2016-07-12T11:34:05Z,2022-06-11T12:15:49Z,72,0,1000,5,82.6,86,41450,36353,0.97,17348,,0.77496
https://github.com/rancher/rancher,Go,Apache License 2.0,19305,2014-11-07T20:49:31Z,2022-06-14T13:32:20Z,92,0,209,9,39.38,161,33498,31330,2,25157,166,0.77494
https://github.com/microsoft/TypeScript,TypeScript,Apache License 2.0,81476,2014-06-17T15:28:39Z,2022-06-15T19:06:08Z,97,0,730,3,24.42,26,48628,43102,2,63400,,0.77452
https://github.com/hisilicon/linux-hisi,C,Other,48,2014-07-02T10:31:32Z,2022-06-06T00:18:54Z,96,0,5000,10,1548.58,13,3,1,0,51942,,0.77440
https://github.com/jonmason/ntb,C,Other,41,2012-08-13T22:59:41Z,2022-04-03T21:08:21Z,119,2,5000,10,1247.1,3,2,1,0,149059,,0.77389
https://github.com/FreeRDP/FreeRDP,C,Apache License 2.0,6888,2011-06-30T19:12:51Z,2022-06-09T08:58:59Z,133,0,419,8,17.79,6,5088,4619,4.5,14349,,0.77366
https://github.com/nestjs/nest,TypeScript,MIT License,47557,2017-01-08T14:09:41Z,2022-06-04T19:22:34Z,66,0,350,9,52.25,13,9473,9381,2.94,11975,5570,0.77283
https://github.com/Homebrew/linuxbrew-core,Ruby,"BSD 2-Clause ""Simplified"" License",1155,2009-06-04T18:36:58Z,2021-10-21T07:47:46Z,158,7,5000,5,538.23,0,24519,24519,0.88,3348,,0.77238
https://github.com/conda-forge/staged-recipes,Python,"BSD 3-Clause ""New"" or ""Revised"" License",540,2015-09-02T21:49:20Z,2022-06-15T21:36:04Z,82,0,3371,8,389.73,0,18418,17900,2,1365,,0.77196
https://github.com/renovatebot/renovate,TypeScript,Other,8447,2016-12-17T16:21:21Z,2022-06-12T05:18:25Z,66,0,634,11,49.69,928,13271,12270,2,3621,2,0.77196
https://github.com/gitlabhq/gitlabhq,Ruby,Other,22934,2011-10-02T16:25:27Z,2022-06-15T15:09:20Z,130,0,2997,4,42.94,136,106,92,1.08,70770,,0.77192
https://github.com/celery/celery,Python,Other,19522,2009-04-24T11:30:00Z,2022-06-15T15:14:47Z,160,0,1220,6,6.44,15,4357,3814,4.24,6567,1120,0.77187
https://github.com/jellyfin/jellyfin,C#,GNU General Public License v2.0,15053,2012-07-12T06:55:27Z,2022-06-06T13:02:51Z,120,0,884,3,36.65,10,7348,6586,3.32,20686,,0.77169
https://github.com/sympy/sympy,Python,Other,9313,2007-07-19T21:07:03Z,2022-06-15T21:00:45Z,181,0,1150,5,72.71,7,14522,10226,2,7732,,0.77152
https://github.com/hazelcast/hazelcast,Java,Other,4891,2008-12-15T11:41:01Z,2022-06-14T09:35:36Z,164,0,392,8,20.19,24,20425,19178,2,13985,2499,0.77147
https://github.com/OSGeo/gdal,C++,Other,3180,1998-10-17T19:24:36Z,2022-06-13T19:45:11Z,288,0,462,10,65.87,8,5798,5395,2.1,5369,,0.77142
https://github.com/facebook/fbthrift,C++,Apache License 2.0,2318,2013-07-02T18:15:51Z,2022-06-13T09:25:20Z,108,0,982,4,91.37,32,360,318,2.11,32061,29,0.77116
https://github.com/clap-rs/clap,Rust,Apache License 2.0,8764,2015-02-25T13:36:33Z,2022-06-14T01:06:57Z,88,0,413,8,37.71,34,3090,2903,3.25,6504,16829,0.77108
https://github.com/frank-w/BPI-R2-4.14,C,Other,88,2005-04-16T22:20:36Z,2022-05-26T13:29:39Z,208,0,5000,10,157.04,52,89,79,7.87,37,,0.77103
https://github.com/juju/juju,Go,Other,2004,2011-08-23T15:10:42Z,2022-06-15T20:55:39Z,131,0,241,6,53.42,22,8412,8380,3.05,12320,52,0.77092
https://github.com/sphinx-doc/sphinx,Python,Other,4655,2007-07-23T08:56:48Z,2022-06-13T17:09:16Z,181,0,735,7,30.29,5,10444,9509,2.14,17600,2469,0.77049
https://github.com/termux/termux-packages,Shell,Other,8262,2015-06-12T21:48:33Z,2022-06-16T18:24:34Z,85,0,393,5,154.88,57,9846,9466,2.91,4645,,0.77037
https://github.com/fastlane/fastlane,Ruby,MIT License,35069,2014-09-09T11:40:43Z,2022-06-06T15:19:58Z,94,0,1484,8,6.44,32,19098,18876,2,5793,,0.77029
https://github.com/flutter/engine,C++,"BSD 3-Clause ""New"" or ""Revised"" License",5848,2013-04-19T17:28:48Z,2022-06-16T07:33:06Z,111,0,526,3,109.54,0,31297,31214,2,419384,,0.76992
https://github.com/hibernate/hibernate-orm,Java,,4968,2007-06-29T19:17:02Z,2022-06-07T18:41:14Z,182,0,610,11,38.5,18,3576,3400,2.17,3079,13246,0.76983
https://github.com/dotnet/aspnetcore,C#,MIT License,28691,2013-12-12T16:47:22Z,2022-06-16T03:36:59Z,103,0,1188,2,41.44,34,38664,36309,2,26702,147,0.76967
https://github.com/huggingface/transformers,Python,Apache License 2.0,64567,2018-10-29T13:56:00Z,2022-06-08T17:30:03Z,43,0,1347,5,51.13,34,17547,17046,2.28,6997,921,0.76938
