Name,Maintained,CodeReview,Criticality
github.com/mdn/content,10,9,544
github.com/typeorm/typeorm,10,0,762
github.com/facebook/relay,10,10,473
github.com/ohmyzsh/ohmyzsh,10,4,722
github.com/square/okhttp,10,2,380
github.com/dask/dask,10,8,246
github.com/swagger-api/swagger-ui,10,2,338
github.com/golang/tools,10,10,638
github.com/microsoft/monaco-editor,10,10,784
github.com/sonata-project/SonataAdminBundle,10,8,478
github.com/sourcegraph/sourcegraph,10,10,890
github.com/facebook/jest,10,3,69
github.com/PyCQA/isort,0,2,971
github.com/apache/tomcat,10,0,841
github.com/webpack-contrib/css-loader,10,6,967
github.com/vitejs/vite,10,8,300
github.com/pinojs/pino,10,6,924
github.com/CartoDB/cartodb,8,10,687
github.com/kubernetes/community,10,10,107
github.com/apache/hadoop,10,9,47
github.com/TerriaJS/terriajs,10,10,823
github.com/sequelize/sequelize,10,5,104
github.com/elementor/elementor,10,1,724
github.com/netty/netty,10,5,133
github.com/facebook/proxygen,10,1,498
github.com/vuejs/vue-cli,5,1,254
github.com/endlessm/linux,10,1,899
github.com/checkstyle/checkstyle,10,8,519
github.com/facebook/react-native,10,10,23
github.com/zcash/zcash,10,10,298
github.com/ZoneMinder/zoneminder,10,0,582
github.com/Laravel-Lang/lang,10,3,891
github.com/ardatan/graphql-tools,10,0,681
github.com/libvirt/libvirt,10,0,973
github.com/pymc-devs/pymc,10,10,613
github.com/mautic/mautic,10,8,502
github.com/OpenNebula/one,10,0,997
github.com/fastai/fastai,10,0,931
github.com/kubernetes-sigs/cluster-api,10,10,945
github.com/micrometer-metrics/micrometer,10,2,927
github.com/w3c/csswg-drafts,10,0,392
github.com/facebook/facebook-ios-sdk,10,10,959
github.com/jOOQ/jOOQ,10,0,932
github.com/dotnet/installer,10,10,668
github.com/facebook/folly,10,10,315
github.com/jekyll/jekyll,10,2,265
github.com/OpenNMS/opennms,10,1,266
github.com/Alluxio/alluxio,10,10,182
github.com/aosp-mirror/platform_frameworks_base,10,0,331
github.com/sqlalchemy/sqlalchemy,10,0,117
github.com/MariaDB/server,10,0,108
github.com/beagleboard/linux,0,0,45
github.com/Kong/kong,10,10,378
github.com/django/django,10,5,46
github.com/highlightjs/highlight.js,10,7,477
github.com/Homebrew/homebrew-core,10,0,106
github.com/eugenp/tutorials,10,0,760
github.com/quasarframework/quasar,10,0,470
github.com/backstage/backstage,10,10,379
github.com/ethereum/EIPs,10,9,865
github.com/rapid7/metasploit-framework,10,2,49
github.com/PX4/PX4-Autopilot,10,8,673
github.com/assertj/assertj-core,10,0,816
github.com/scipy/scipy,10,6,304
github.com/PyTorchLightning/pytorch-lightning,10,10,980
github.com/prusa3d/PrusaSlicer,10,0,812
github.com/home-assistant/home-assistant.io,10,9,509
github.com/Homebrew/linuxbrew-core,0,0,214
github.com/reduxjs/redux,10,0,699
github.com/rectorphp/rector,10,0,715
github.com/protocolbuffers/protobuf,10,10,557
github.com/BabylonJS/Babylon.js,10,9,255
github.com/Laravel-Backpack/CRUD,10,0,602
github.com/lampepfl/dotty,10,9,409
github.com/remix-run/react-router,10,2,410
github.com/googleapis/google-api-nodejs-client,10,10,878
github.com/spree/spree,10,4,258
github.com/puma/puma,10,2,252
github.com/vuetifyjs/vuetify,10,1,706
github.com/buildroot/buildroot,10,0,543
github.com/godotengine/godot,10,10,176
github.com/neovim/neovim,10,5,381
github.com/ianstormtaylor/slate,10,6,800
github.com/pingcap/tidb,10,10,807
github.com/nextcloud/mail,10,6,916
github.com/openshift/machine-config-operator,10,10,982
github.com/orientechnologies/orientdb,10,0,545
github.com/ampproject/amp-wp,10,5,903
github.com/mailcow/mailcow-dockerized,10,4,992
github.com/xtermjs/xterm.js,10,2,755
github.com/xanzy/go-gitlab,10,8,987
github.com/pyinstaller/pyinstaller,10,7,738
github.com/neo4j/neo4j,10,0,414
github.com/swc-project/swc,10,5,921
github.com/pybind/pybind11,10,8,964
github.com/mozilla/fxa,10,10,888
github.com/apache/tvm,10,10,941
github.com/sunpy/sunpy,10,10,960
github.com/TheOdinProject/curriculum,10,6,803
github.com/openjdk/loom,10,0,689
github.com/arendst/Tasmota,10,0,976
github.com/openstreetmap/iD,10,0,902
github.com/enzymejs/enzyme,10,0,990
github.com/eclipse/jetty.project,10,8,416
github.com/macports/macports-ports,10,0,547
github.com/Radarr/Radarr,10,0,947
github.com/mavlink/qgroundcontrol,10,6,569
github.com/psf/requests,8,10,758
github.com/phoenixframework/phoenix,10,0,313
github.com/appium/appium,10,3,767
github.com/Azure/azure-sdk-for-js,10,10,837
github.com/pfsense/FreeBSD-ports,10,1,193
github.com/appsmithorg/appsmith,10,8,853
github.com/microsoft/vcpkg,10,10,351
github.com/jellyfin/jellyfin-web,10,5,314
